name,syns
листы,"асбестоволокнистые листы,хризотилцементные листы,волнистые листы,асбестоцементные листы,волнистые асбестоцементные листы,профильные листы,7-волновые листы"
листы," листы для кровельных работ,волнистые листы,хризотилцементные листы,профильные листы,листы с профилированным краем,волновые листы,цементно-хризотилевые листы"
листы,"sheet,panel,board,laminate,coated material,profiled sheeting,corrugated board"
листы,"гибкие листы,волнистые листы,хризотилцементные листы,цементные листы,строительные листы,облицовочные листы,армированные листы"
листы,"листовой материал,ламинированный лист,гибкие листы,цементобетонные листы,хризотилцементные листы,волнистые листы,профильные листы"
листы,"гипсокартон,штукатурный лист,вентиляционный лист,армированный лист,цементно-асбестоцементный лист,хризотилцементный лист"
листы,"хризотилцементные листы,волнистый лист, profiling materials,suspended ceiling panel,hanging ceiling board,corrugated sheet material,asbestos-cement corrugated sheets"
листы,"гипсокартонные листы,цементно-асбестовые листы,хризотилцементные листы,волнистые листы, profiling листы,цементные листы,асбесто-цементные листы"
листы,"фанера,ламинат,материал для облицовки,облицовочный материал,строительный материал,монтажный лист,хризотилцементная фанера"
листы,"sheeting,laminate sheets,hemp-based composite panels,reinforced cementboard,hempcrete panels,hemp-based building boards,cement-bonded panels"
