name,params
лист,"хризотилцементный волнистый профиль 40/150 7-волновый толщина 5,2 мм"
лист,хризотилцементный волнистый профиль 40/150 8-волновый толщина 5.2 мм
лист,хризотилцементный волнистый профиль 40/150 8-волновой окрашенный толщина 5.2 мм
лист,"хризотилцементный волнистый профиль 40/150 8-волновый окрашенный толщина 5,8 мм"
лист,"хризотилцементный волнистый профиль 51/177, толщина 5,2 мм"
лист,"хризотилцементный волнистый профиль 51/177 6 волновых толщина 5,2 мм"
лист,"хризотилцементный волнистый профиль 51/177 5 волновых толщина 5,2 мм"
лист,"хризотилцементный волнистый профиль 51/177, толщина 6 мм"
лист,хризотилцементный волнистый профиль 51/177 6 волновых толщиной 6 мм
лист,хризотилцементный волнистый профиль 51/177 5-волновой толщина 6 мм
лист,"хризотилцементный плоский непрессовый, толщина 6 мм"
лист,"хризотилцементный плоский непрессованный, толщина 8 мм"
лист,"хризотилцементный плоский непрессованный, толщина 10 мм"
лист,"хризотилцементный плоский прессованный, толщина 6 мм"
лист,"хризотилцементный плоский прессованный, толщина 8 мм"
лист,"хризотилцементный плоский прессованный, толщина 10 мм"
лист,"хризотилцементный плоский непрессованный, толщина 12 мм"
лист,"хризотилцементный плоский прессованный, толщина 12 мм"
plita,"хризотилцементные плоские прессованные фасадные с гладкой поверхностью и лакокрасочным защитно-декоративным покрытием, толщина 8 мм"
лист,"хризотилцементный плоский прессованный, толщина 20 мм"
лист,"фиброцементный хризотилцементный плоский с каменной крошкой диаметром 3-5 мм, толщина 8 мм"
шнур,"асбестовый общего назначения, диаметр 0,7 мм"
шнур,"асбестовый общего назначения, диаметр 1,0-1,5 мм"
шнур,"асбестовый общего назначения, диаметр 2,0-2,5 мм"
шнур,"асбестовый общего назначения шаон, диаметр 3-6 мм"
шнур,"асбестовый общего назначения шаон, диаметр 8-10 мм"
шнур,"асбестовый общего назначения ШАОН, диаметр 12 мм"
шнур,"асбестовый общего назначения Шаон, диаметр 15 мм"
асбест,"шнур общего назначения, диаметр 18-25 мм"
лист,"асботекстолит марки а, б, г, толщина 5-20 мм"
лист,"асботекстолит листовой марки а, б, г, толщина 5 мм"
лист,"асботекстолит листовой марки а, б, г, толщина 10 мм"
лист,"асботекстолит марки а, б, г, толщина 20 мм"
